origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,03:00,2026-02-27,14.3,44.4,,
"Puerta del Sol, Madrid","Getafe, Madrid",TRANSIT,03:00,2026-02-27,16.39,49.0,,
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,03:00,2026-02-27,24.01,72.7,,
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,03:00,2026-02-27,16.76,41.4,,
"Estación de Atocha, Madrid",Toledo,TRANSIT,03:00,2026-02-27,68.33,95.3,,
"Estación de Atocha, Madrid",Segovia,TRANSIT,03:00,2026-02-27,81.26,81.5,,
"Estación de Atocha, Madrid",Ávila,TRANSIT,03:00,2026-02-27,128.24,124.2,,
"Estación de Atocha, Madrid",Cuenca,TRANSIT,03:00,2026-02-27,212.01,117.2,,
"Estación de Chamartín, Madrid",Valladolid,TRANSIT,03:00,2026-02-27,179.23,73.5,,
"Estación de Chamartín, Madrid",Burgos,TRANSIT,03:00,2026-02-27,303.97,121.5,,
"Estación de Chamartín, Madrid",Salamanca,TRANSIT,03:00,2026-02-27,298.92,179.6,,
"Estación de Atocha, Madrid",Córdoba,TRANSIT,03:00,2026-02-27,344.2,118.1,,
"Estación de Atocha, Madrid",Ciudad Real,TRANSIT,03:00,2026-02-27,171.32,63.0,,
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,03:00,2026-02-27,625.94,209.8,,
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,03:00,2026-02-27,407.01,154.2,,
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,03:00,2026-02-27,470.82,173.1,,
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,03:00,2026-02-27,306.53,98.6,,
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,03:00,2026-02-27,509.78,195.1,,
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,03:00,2026-02-27,483.63,295.5,,
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,03:00,2026-02-27,578.53,389.1,,
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,03:00,2026-02-27,11.07,27.4,,
"Móstoles, Madrid","Alcorcón, Madrid",TRANSIT,03:00,2026-02-27,8.01,27.1,,
"Móstoles, Madrid","Leganés, Madrid",TRANSIT,03:00,2026-02-27,34.25,57.4,,
"Móstoles, Madrid","Fuenlabrada, Madrid",TRANSIT,03:00,2026-02-27,40.95,81.7,,
"Getafe, Madrid","Parla, Madrid",TRANSIT,03:00,2026-02-27,9.88,13.1,,
"Getafe, Madrid","Leganés, Madrid",TRANSIT,03:00,2026-02-27,9.72,36.0,,
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",TRANSIT,03:00,2026-02-27,3.1,45.1,,
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,03:00,2026-02-27,28.61,70.7,,
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,03:00,2026-02-27,21.81,24.7,,
"Aranjuez, Madrid","Ocaña, Toledo",TRANSIT,03:00,2026-02-27,109.55,75.0,,
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,04:00,2026-02-27,15.54,46.9,,
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",TRANSIT,04:00,2026-02-27,2.21,11.6,,
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,04:00,2026-02-27,6.93,22.9,,
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",TRANSIT,04:00,2026-02-27,7.65,33.6,,
"Puerta del Sol, Madrid","Vallecas, Madrid",TRANSIT,04:00,2026-02-27,14.36,63.8,,
"Puerta del Sol, Madrid","Moncloa, Madrid",TRANSIT,04:00,2026-02-27,6.61,54.0,,
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",TRANSIT,04:00,2026-02-27,4.97,29.6,,
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",TRANSIT,04:00,2026-02-27,4.4,21.4,,
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,04:00,2026-02-27,11.01,46.4,,
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,04:00,2026-02-27,13.14,28.3,,
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",TRANSIT,04:00,2026-02-27,5.21,15.6,,
"Retiro, Madrid","Ciudad Universitaria, Madrid",TRANSIT,04:00,2026-02-27,11.32,53.8,,
"Retiro, Madrid","Leganés, Madrid",TRANSIT,04:00,2026-02-27,19.96,45.9,,
"Retiro, Madrid","Getafe, Madrid",TRANSIT,04:00,2026-02-27,15.35,39.8,,
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",TRANSIT,04:00,2026-02-27,33.22,43.2,,
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,04:00,2026-02-27,48.17,48.6,,
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,04:00,2026-02-27,23.85,53.6,,
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,04:00,2026-02-27,26.41,69.4,,
"Estación de Atocha, Madrid","Móstoles, Madrid",TRANSIT,04:00,2026-02-27,19.76,38.5,,
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,04:00,2026-02-27,19.74,34.4,,
"Estación de Atocha, Madrid","Parla, Madrid",TRANSIT,04:00,2026-02-27,23.17,41.2,,
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,04:00,2026-02-27,20.65,26.6,,
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",TRANSIT,04:00,2026-02-27,15.34,24.5,,
